     i           x1         root        error         time
1.000000     1.000000     0.367879     0.632121     0.000388
2.000000     0.367879     0.692201     0.324321     0.000668
3.000000     0.692201     0.500474     0.191727     0.000942
4.000000     0.500474     0.606244     0.105770     0.001211
5.000000     0.606244     0.545396     0.060848     0.001480
6.000000     0.545396     0.579612     0.034217     0.001753
7.000000     0.579612     0.560115     0.019497     0.002021
8.000000     0.560115     0.571143     0.011028     0.002290
9.000000     0.571143     0.564879     0.006264     0.002560
10.000000     0.564879     0.568429     0.003549     0.002831
11.000000     0.568429     0.566415     0.002014     0.003100
12.000000     0.566415     0.567557     0.001142     0.003369
13.000000     0.567557     0.566909     0.000648     0.003638
14.000000     0.566909     0.567276     0.000367     0.003934
15.000000     0.567276     0.567068     0.000208     0.004203
16.000000     0.567068     0.567186     0.000118     0.004519
17.000000     0.567186     0.567119     0.000067     0.004855
18.000000     0.567119     0.567157     0.000038     0.005100
19.000000     0.567157     0.567135     0.000022     0.005342
20.000000     0.567135     0.567148     0.000012     0.005643
21.000000     0.567148     0.567141     0.000007     0.005889
